# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)   0.085 us    |          } /* _raw_spin_lock_irqsave */
   0)   0.088 us    |                        __update_load_avg_se();
   0)   0.084 us    |                        __update_load_avg_cfs_rq();
   0)   0.108 us    |                        update_cfs_group();
   0)   0.085 us    |                        check_spread.isra.0();
   0)   1.105 us    |                      }
   0)   0.084 us    |                      hrtick_update();
   0)   1.676 us    |                    }
   0)   1.884 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)               |                      resched_curr() {
   0)               |                        native_smp_send_reschedule() {
   0)               |                          x2apic_send_IPI() {
   0)   7.776 us    |                            __x2apic_send_IPI_dest();
   0)   8.197 us    |                          }
   0)   8.385 us    |                        }
   0)   8.604 us    |                      }
   0)   8.793 us    |                    }
   0)   9.098 us    |                  }
   0) + 11.230 us   |                }
   0) + 12.164 us   |              }
   0)   0.111 us    |              _raw_spin_unlock_irqrestore();
   0)   0.097 us    |              ttwu_stat();
   0) + 13.792 us   |            }
   0) + 13.947 us   |          }
   0)               |          wait_for_completion_killable() {
   0)               |            wait_for_common() {
   0)   0.086 us    |              _raw_spin_lock_irq();
   0)   0.101 us    |              __prepare_to_swait();
   0)               |              schedule_timeout() {
   0)               |                schedule() {
   0)               |                  rcu_note_context_switch() {
   0)   0.086 us    |                    rcu_qs();
   0)   0.250 us    |                  }
   0)   0.098 us    |                  _raw_spin_lock();
   0)               |                  update_rq_clock() {
   0)               |                    update_rq_clock_task() {
   0)   0.094 us    |                      update_irq_load_avg();
   0)   0.327 us    |                    }
   0)   0.494 us    |                  }
   0)               |                  deactivate_task() {
   0)               |                    dequeue_task_fair() {
   0)               |                      dequeue_entity() {
   0)               |                        update_curr() {
   0)   0.097 us    |                          update_min_vruntime();
   0)               |                          cpuacct_charge() {
   0)   0.164 us    |                            rcu_read_unlock_strict();
   0)   0.331 us    |                          }
   0)   0.106 us    |                          rcu_read_unlock_strict();
   0)   0.943 us    |                        }
   0)   0.091 us    |                        __update_load_avg_se();
   0)   0.089 us    |                        __update_load_avg_cfs_rq();
   0)   0.086 us    |                        clear_buddies();
   0)   0.086 us    |                        update_cfs_group();
   0)   0.083 us    |                        update_min_vruntime();
   0)   2.027 us    |                      }
   0)   0.084 us    |                      hrtick_update();
   0)   2.393 us    |                    }
   0)   2.586 us    |                  }
   0)               |                  pick_next_task_fair() {
   0)               |                    newidle_balance() {
   0)   0.088 us    |                      __msecs_to_jiffies();
   0)   0.086 us    |                      rcu_read_unlock_strict();
   0)   0.086 us    |                      nohz_newidle_balance();
   0)   0.618 us    |                    }
   0)   0.086 us    |                    try_steal();
   0)   0.087 us    |                    __unthrottle_qos_cfs_rqs();
   0)   1.194 us    |                  }
   0)               |                  put_prev_task_fair() {
   0)               |                    put_prev_entity() {
   0)   0.088 us    |                      check_cfs_rq_runtime();
   0)   0.090 us    |                      check_spread.isra.0();
   0)   0.444 us    |                    }
   0)   0.611 us    |                  }
   0)   0.087 us    |                  pick_next_task_idle();
   0)   0.174 us    |                  __traceiter_sched_switch();
   0)   0.089 us    |                  enter_lazy_tlb();
   0)   0.333 us    |                  finish_task_switch();
   0) + 63.447 us   |                }
   0) + 63.665 us   |              }
   0)   0.107 us    |              _raw_spin_lock_irq();
   0)   0.089 us    |              __finish_swait();
   0) + 64.657 us   |            }
   0) + 64.841 us   |          }
   0)               |          __set_task_comm() {
   0)   0.160 us    |            _raw_spin_lock();
   0)   0.659 us    |          }
   0)               |          sched_setscheduler_nocheck() {
   0)               |            __sched_setscheduler() {
   0)   0.123 us    |              cpuset_read_lock();
   0)               |              task_rq_lock() {
   0)   0.089 us    |                _raw_spin_lock_irqsave();
   0)   0.118 us    |                _raw_spin_lock();
   0)   0.501 us    |              }
   0)               |              update_rq_clock() {
   0)   0.136 us    |                update_rq_clock_task();
   0)   0.324 us    |              }
   0)   0.114 us    |              _raw_spin_unlock_irqrestore();
   0)   0.089 us    |              cpuset_read_unlock();
   0)   1.774 us    |            }
   0)   1.974 us    |          }
   0)   0.084 us    |          housekeeping_cpumask();
   0)               |          set_cpus_allowed_ptr() {
   0)               |            __set_cpus_allowed_ptr() {
   0)               |              task_rq_lock() {
   0)   0.085 us    |                _raw_spin_lock_irqsave();
   0)   0.084 us    |                _raw_spin_lock();
   0)   0.415 us    |              }
   0)               |              update_rq_clock() {
   0)   0.086 us    |                update_rq_clock_task();
   0)   0.250 us    |              }
   0)   0.107 us    |              _raw_spin_unlock_irqrestore();
   0)   1.131 us    |            }
   0)   1.285 us    |          }
   0)   0.203 us    |          kfree();
   0) + 84.910 us   |        }
   0) + 85.097 us   |      }
   0)               |      wake_up_process() {
   0)               |        try_to_wake_up() {
   0)   0.087 us    |          _raw_spin_lock_irqsave();
   0)               |          select_task_rq_fair() {
   0)               |            select_idle_sibling() {
   0)   0.106 us    |              available_idle_cpu();
   0)   0.275 us    |            }
   0)   0.084 us    |            rcu_read_unlock_strict();
   0)   0.677 us    |          }
   0)               |          ttwu_queue() {
   0)               |            ttwu_queue_wakelist.part.0() {
   0)               |              __smp_call_single_queue() {
   0)               |                send_call_function_single_ipi() {
   0)               |                  native_send_call_func_single_ipi() {
   0)               |                    x2apic_send_IPI() {
   0)   7.984 us    |                      __x2apic_send_IPI_dest();
   0)   8.463 us    |                    }
   0)   8.656 us    |                  }
   0)   8.846 us    |                }
   0)   9.052 us    |              }
   0)   9.277 us    |            }
   0)   9.477 us    |          }
   0)   0.165 us    |          _raw_spin_unlock_irqrestore();
   0)   0.102 us    |          ttwu_stat();
   0) + 11.147 us   |        }
   0) + 11.306 us   |      }
   0)               |      __cond_resched() {
   0)   0.117 us    |        rcu_all_qs();
   0)   0.319 us    |      }
   0)               |      down() {
   0)   0.093 us    |        _raw_spin_lock_irqsave();
   0)   0.097 us    |        _raw_spin_unlock_irqrestore();
   0)   0.456 us    |      }
   0)               |      kthread_create_on_node() {
   0)               |        __kthread_create_on_node() {
   0)               |          kmem_cache_alloc_trace() {
   0)   0.092 us    |            should_failslab();
   0)   0.348 us    |          }
   0)   0.145 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
   0)               |            try_to_wake_up() {
   0)   0.126 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.137 us    |                  available_idle_cpu();
   0)   0.317 us    |                }
   0)   0.088 us    |                rcu_read_unlock_strict();
   0)   0.702 us    |              }
   0)               |              ttwu_queue() {
   0)   0.132 us    |                ttwu_queue_wakelist.part.0();
   0)   0.100 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.132 us    |                  update_rq_clock_task();
   0)   0.316 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)   0.087 us    |                        update_curr();
   0)   0.090 us    |                        __update_load_avg_se();
   0)   0.086 us    |                        __update_load_avg_cfs_rq();
   0)   0.087 us    |                        update_cfs_group();
   0)   0.087 us    |                        check_spread.isra.0();
   0)   1.113 us    |                      }
   0)   0.088 us    |                      hrtick_update();
   0)   1.523 us    |                    }
   0)   1.724 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)               |                      resched_curr() {
   0)               |                        native_smp_send_reschedule() {
   0)               |                          x2apic_send_IPI() {
   0)   8.097 us    |                            __x2apic_send_IPI_dest();
   0)   8.535 us    |                          }
   0)   8.711 us    |                        }
   0)   8.916 us    |                      }
   0)   9.118 us    |                    }
   0)   9.417 us    |                  }
   0) + 11.380 us   |                }
   0) + 12.535 us   |              }
   0)   0.112 us    |              _raw_spin_unlock_irqrestore();
   0)   0.086 us    |              ttwu_stat();
   0) + 14.188 us   |            }
   0) + 14.348 us   |          }
   0)               |          wait_for_completion_killable() {
   0)               |            wait_for_common() {
   0)   0.105 us    |              _raw_spin_lock_irq();
   0)   0.094 us    |              __prepare_to_swait();
   0)               |              schedule_timeout() {
   0)               |                schedule() {
   0)               |                  rcu_note_context_switch() {
   0)   0.088 us    |                    rcu_qs();
   0)   0.261 us    |                  }
   0)   0.097 us    |                  _raw_spin_lock();
   0)               |                  update_rq_clock() {
   0)               |                    update_rq_clock_task() {
   0)   0.094 us    |                      update_irq_load_avg();
   0)   0.316 us    |                    }
   0)   0.506 us    |                  }
   0)               |                  deactivate_task() {
   0)               |                    dequeue_task_fair() {
   0)               |                      dequeue_entity() {
   0)               |                        update_curr() {
   0)   0.085 us    |                          update_min_vruntime();
   0)               |                          cpuacct_charge() {
   0)   0.175 us    |                            rcu_read_unlock_strict();
   0)   0.335 us    |                          }
   0)   0.106 us    |                          rcu_read_unlock_strict();
   0)   0.912 us    |                        }
   0)   0.090 us    |                        __update_load_avg_se();
   0)   0.087 us    |                        __update_load_avg_cfs_rq();
   0)   0.085 us    |                        clear_buddies();
   0)   0.084 us    |                        update_cfs_group();
   0)   0.087 us    |                        update_min_vruntime();
   0)   1.995 us    |                      }
   0)   0.084 us    |                      hrtick_update();
   0)   2.364 us    |                    }
   0)   2.557 us    |                  }
   0)               |                  pick_next_task_fair() {
   0)               |                    newidle_balance() {
   0)   0.093 us    |                      __msecs_to_jiffies();
   0)   0.085 us    |                      rcu_read_unlock_strict();
   0)   0.084 us    |                      nohz_newidle_balance();
   0)   0.624 us    |                    }
   0)   0.087 us    |                    try_steal();
   0)   0.093 us    |                    __unthrottle_qos_cfs_rqs();
   0)   1.189 us    |                  }
   0)               |                  put_prev_task_fair() {
   0)               |                    put_prev_entity() {
   0)   0.083 us    |                      check_cfs_rq_runtime();
   0)   0.088 us    |                      check_spread.isra.0();
   0)   0.438 us    |                    }
   0)   0.601 us    |                  }
   0)   0.085 us    |                  pick_next_task_idle();
   0)   0.190 us    |                  __traceiter_sched_switch();
   0)   0.088 us    |                  enter_lazy_tlb();
   0)   0.434 us    |                  finish_task_switch();
   0) + 82.791 us   |                }
   0) + 83.017 us   |              }
   0)   0.117 us    |              _raw_spin_lock_irq();
   0)   0.092 us    |              __finish_swait();
   0) + 84.030 us   |            }
   0) + 84.211 us   |          }
   0)               |          __set_task_comm() {
   0)   0.158 us    |            _raw_spin_lock();
   0)   0.446 us    |          }
   0)               |          sched_setscheduler_nocheck() {
   0)               |            __sched_setscheduler() {
   0)   0.127 us    |              cpuset_read_lock();
   0)               |              task_rq_lock() {
   0)   0.087 us    |                _raw_spin_lock_irqsave();
   0)   0.130 us    |                _raw_spin_lock();
   0)   0.501 us    |              }
   0)               |              update_rq_clock() {
   0)               |                update_rq_clock_task() {
   0)   0.134 us    |                  update_irq_load_avg();
   0)   0.376 us    |                }
   0)   0.566 us    |              }
   0)   0.120 us    |              _raw_spin_unlock_irqrestore();
   0)   0.087 us    |              cpuset_read_unlock();
   0)   2.002 us    |            }
   0)   2.197 us    |          }
   0)   0.084 us    |          housekeeping_cpumask();
   0)               |          set_cpus_allowed_ptr() {
   0)               |            __set_cpus_allowed_ptr() {
   0)               |              task_rq_lock() {
   0)   0.085 us    |                _raw_spin_lock_irqsave();
   0)   0.086 us    |                _raw_spin_lock();
   0)   0.416 us    |              }
   0)               |              update_rq_clock() {
   0)   0.087 us    |                update_rq_clock_task();
   0)   0.258 us    |              }
   0)   0.092 us    |              _raw_spin_unlock_irqrestore();
   0)   1.135 us    |            }
   0)   1.289 us    |          }
   0)   0.197 us    |          kfree();
   0) ! 104.687 us  |        }
   0) ! 104.869 us  |      }
   0)               |      wake_up_process() {
   0)               |        try_to_wake_up() {
