# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   1)               |                      nand_wait_readrdy [nand]() {
   1)   0.085 us    |                        ns_exec_op [nandsim]();
   1)   0.245 us    |                      }
   1)   7.372 us    |                    }
   1)   0.081 us    |                    mutex_unlock();
   1)   0.079 us    |                    mutex_unlock();
   1)   8.155 us    |                  }
   1)   8.307 us    |                }
   1)   8.633 us    |              }
   1)   8.791 us    |            }
   1)   8.964 us    |          }
   1)   0.089 us    |          validate_ec_hdr [ubi]();
   1)   9.319 us    |        }
   1)               |        ubi_io_read_vid_hdr [ubi]() {
   1)               |          ubi_io_read [ubi]() {
   1)               |            mtd_read [mtd]() {
   1)               |              mtd_read_oob [mtd]() {
   1)   0.079 us    |                mtd_check_oob_ops [mtd]();
   1)               |                mtd_read_oob_std [mtd]() {
   1)               |                  nand_read_oob [nand]() {
   1)   0.082 us    |                    mutex_lock();
   1)   0.083 us    |                    mutex_lock();
   1)               |                    nand_do_read_ops [nand]() {
   1)   0.082 us    |                      nand_select_target [nand]();
   1)   0.257 us    |                    }
   1)   0.083 us    |                    mutex_unlock();
   1)   0.081 us    |                    mutex_unlock();
   1)   1.186 us    |                  }
   1)   1.336 us    |                }
   1)   1.660 us    |              }
   1)   1.826 us    |            }
   1)   1.986 us    |          }
   1)   0.108 us    |          ubi_check_pattern [ubi]();
   1)   2.332 us    |        }
   1)               |        add_to_list [ubi]() {
   1)               |          kmem_cache_alloc() {
   1)   0.080 us    |            should_failslab();
   1)   0.268 us    |          }
   1)   0.429 us    |        }
   1) + 13.846 us   |      }
   1)               |      __cond_resched() {
   1)   0.083 us    |        rcu_all_qs();
   1)   0.237 us    |      }
   1)               |      scan_peb.constprop.0 [ubi]() {
   1)               |        ubi_io_is_bad [ubi]() {
   1)               |          mtd_block_isbad [mtd]() {
   1)               |            nand_block_isbad [nand]() {
   1)   0.084 us    |              mutex_lock();
   1)   0.080 us    |              mutex_lock();
   1)   0.081 us    |              nand_select_target [nand]();
   1)   0.081 us    |              nand_isbad_bbt [nand]();
   1)   0.083 us    |              mutex_unlock();
   1)   0.085 us    |              mutex_unlock();
   1)   1.030 us    |            }
   1)   1.186 us    |          }
   1)   1.361 us    |        }
   1)               |        ubi_io_read_ec_hdr [ubi]() {
   1)               |          ubi_io_read [ubi]() {
   1)               |            mtd_read [mtd]() {
   1)               |              mtd_read_oob [mtd]() {
   1)   0.083 us    |                mtd_check_oob_ops [mtd]();
   1)               |                mtd_read_oob_std [mtd]() {
   1)               |                  nand_read_oob [nand]() {
   1)   0.079 us    |                    mutex_lock();
   1)   0.082 us    |                    mutex_lock();
   1)               |                    nand_do_read_ops [nand]() {
   1)   0.081 us    |                      nand_select_target [nand]();
   1)               |                      nand_read_page_swecc [nand]() {
   1)               |                        nand_read_page_raw [nand]() {
   1)               |                          nand_read_page_op [nand]() {
   1)               |                            nand_sp_exec_read_page_op [nand]() {
   1)   0.079 us    |                              nand_fill_column_cycles [nand]();
   1)               |                              ns_exec_op [nandsim]() {
   1)               |                                ns_nand_write_byte.isra.0 [nandsim]() {
   1)               |                                  ns_switch_state [nandsim]() {
   1)   0.083 us    |                                    ns_get_state_by_command [nandsim]();
   1)   0.095 us    |                                    ns_find_operation [nandsim]();
   1)   0.408 us    |                                  }
   1)   0.568 us    |                                }
   1)               |                                ns_nand_write_byte.isra.0 [nandsim]() {
   1)   0.104 us    |                                  ns_find_operation [nandsim]();
   1)   0.081 us    |                                  ns_do_state_action [nandsim]();
   1)   0.420 us    |                                }
   1)   0.084 us    |                                ns_nand_write_byte.isra.0 [nandsim]();
   1)   0.083 us    |                                ns_nand_write_byte.isra.0 [nandsim]();
   1)               |                                ns_nand_write_byte.isra.0 [nandsim]() {
   1)               |                                  ns_switch_state [nandsim]() {
   1)               |                                    ns_do_state_action [nandsim]() {
   1)               |                                      ns_read_page [nandsim]() {
   1)   0.144 us    |                                        ns_do_read_error [nandsim]();
   1)   0.381 us    |                                      }
   1)   0.539 us    |                                    }
   1)   0.699 us    |                                  }
