# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   1)   0.085 us    |              _raw_spin_lock_irq();
   1)   0.098 us    |              __prepare_to_swait();
   1)               |              schedule_timeout() {
   1)               |                schedule() {
   1)               |                  rcu_note_context_switch() {
   1)   0.089 us    |                    rcu_qs();
   1)   0.259 us    |                  }
   1)   0.108 us    |                  _raw_spin_lock();
   1)               |                  update_rq_clock() {
   1)               |                    update_rq_clock_task() {
   1)   0.090 us    |                      update_irq_load_avg();
   1)   0.306 us    |                    }
   1)   0.478 us    |                  }
   1)               |                  deactivate_task() {
   1)               |                    dequeue_task_fair() {
   1)               |                      dequeue_entity() {
   1)               |                        update_curr() {
   1)   0.084 us    |                          update_min_vruntime();
   1)               |                          cpuacct_charge() {
   1)   0.161 us    |                            rcu_read_unlock_strict();
   1)   0.326 us    |                          }
   1)   0.104 us    |                          rcu_read_unlock_strict();
   1)   0.923 us    |                        }
   1)   0.088 us    |                        __update_load_avg_se();
   1)   0.087 us    |                        __update_load_avg_cfs_rq();
   1)   0.094 us    |                        clear_buddies();
   1)   0.086 us    |                        update_cfs_group();
   1)   0.085 us    |                        update_min_vruntime();
   1)   1.975 us    |                      }
   1)   0.086 us    |                      hrtick_update();
   1)   2.340 us    |                    }
   1)   2.530 us    |                  }
   1)               |                  pick_next_task_fair() {
   1)               |                    newidle_balance() {
   1)   0.090 us    |                      __msecs_to_jiffies();
   1)   0.084 us    |                      rcu_read_unlock_strict();
   1)   0.086 us    |                      nohz_newidle_balance();
   1)   0.618 us    |                    }
   1)   0.085 us    |                    try_steal();
   1)   0.086 us    |                    __unthrottle_qos_cfs_rqs();
   1)   1.196 us    |                  }
   1)               |                  put_prev_task_fair() {
   1)               |                    put_prev_entity() {
   1)   0.100 us    |                      check_cfs_rq_runtime();
   1)   0.091 us    |                      check_spread.isra.0();
   1)   0.456 us    |                    }
   1)   0.621 us    |                  }
   1)   0.096 us    |                  pick_next_task_idle();
   1)   0.201 us    |                  __traceiter_sched_switch();
   1)   0.086 us    |                  enter_lazy_tlb();
   1)   0.385 us    |                  finish_task_switch();
   1) + 58.255 us   |                }
   1) + 58.491 us   |              }
   1)   0.095 us    |              _raw_spin_lock_irq();
   1)   0.104 us    |              __finish_swait();
   1) + 59.482 us   |            }
   1) + 59.663 us   |          }
   1)               |          __set_task_comm() {
   1)   0.151 us    |            _raw_spin_lock();
   1)   0.437 us    |          }
   1)               |          sched_setscheduler_nocheck() {
   1)               |            __sched_setscheduler() {
   1)   0.126 us    |              cpuset_read_lock();
   1)               |              task_rq_lock() {
   1)   0.087 us    |                _raw_spin_lock_irqsave();
   1)   0.106 us    |                _raw_spin_lock();
   1)   0.487 us    |              }
   1)               |              update_rq_clock() {
   1)   0.140 us    |                update_rq_clock_task();
   1)   0.330 us    |              }
   1)   0.100 us    |              _raw_spin_unlock_irqrestore();
   1)   0.083 us    |              cpuset_read_unlock();
   1)   1.747 us    |            }
   1)   1.942 us    |          }
   1)   0.083 us    |          housekeeping_cpumask();
   1)               |          set_cpus_allowed_ptr() {
   1)               |            __set_cpus_allowed_ptr() {
   1)               |              task_rq_lock() {
