# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   1)               |                        update_curr() {
   1)   0.085 us    |                          update_min_vruntime();
   1)               |                          cpuacct_charge() {
   1)   0.165 us    |                            rcu_read_unlock_strict();
   1)   0.330 us    |                          }
   1)   0.106 us    |                          rcu_read_unlock_strict();
   1)   0.920 us    |                        }
   1)   0.091 us    |                        __update_load_avg_se();
   1)   0.087 us    |                        _raw_spin_lock();
   1)   0.106 us    |                        __update_load_avg_cfs_rq();
   1)   0.088 us    |                        clear_buddies();
   1)   0.096 us    |                        update_cfs_group();
   1)   0.084 us    |                        update_min_vruntime();
   1)   2.216 us    |                      }
   1)   0.086 us    |                      hrtick_update();
   1)   2.575 us    |                    }
   1)   2.766 us    |                  }
   1)               |                  pick_next_task_fair() {
   1)               |                    newidle_balance() {
   1)   0.086 us    |                      __msecs_to_jiffies();
   1)   0.084 us    |                      rcu_read_unlock_strict();
   1)   0.086 us    |                      nohz_newidle_balance();
   1)   0.605 us    |                    }
   1)   0.086 us    |                    try_steal();
   1)   0.085 us    |                    __unthrottle_qos_cfs_rqs();
   1)   1.170 us    |                  }
   1)               |                  put_prev_task_fair() {
   1)               |                    put_prev_entity() {
   1)   0.085 us    |                      check_cfs_rq_runtime();
   1)   0.104 us    |                      check_spread.isra.0();
   1)   0.450 us    |                    }
   1)   0.614 us    |                  }
   1)   0.088 us    |                  pick_next_task_idle();
   1)   0.177 us    |                  __traceiter_sched_switch();
   1)   0.087 us    |                  enter_lazy_tlb();
   1)   0.321 us    |                  finish_task_switch();
   1) + 55.308 us   |                }
   1) + 55.540 us   |              }
   1)   0.104 us    |              _raw_spin_lock_irq();
   1)   0.088 us    |              __finish_swait();
   1) + 56.545 us   |            }
   1) + 56.723 us   |          }
   1)               |          __set_task_comm() {
   1)   0.130 us    |            _raw_spin_lock();
   1)   0.414 us    |          }
   1)               |          sched_setscheduler_nocheck() {
   1)               |            __sched_setscheduler() {
   1)   0.143 us    |              cpuset_read_lock();
   1)               |              task_rq_lock() {
   1)   0.084 us    |                _raw_spin_lock_irqsave();
   1)   0.121 us    |                _raw_spin_lock();
   1)   0.491 us    |              }
   1)               |              update_rq_clock() {
   1)   0.170 us    |                update_rq_clock_task();
   1)   0.363 us    |              }
   1)   0.104 us    |              _raw_spin_unlock_irqrestore();
   1)   0.086 us    |              cpuset_read_unlock();
   1)   2.023 us    |            }
   1)   2.227 us    |          }
