# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   3)   0.174 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.081 us    |        rcu_all_qs();
   3)   0.237 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.086 us    |        should_failslab();
   3)   0.247 us    |      }
   3)   0.178 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.080 us    |        rcu_all_qs();
   3)   0.235 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.079 us    |        should_failslab();
   3)   0.243 us    |      }
   3)   0.159 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.083 us    |        rcu_all_qs();
   3)   0.236 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.081 us    |        should_failslab();
   3)   0.246 us    |      }
   3)   0.225 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.085 us    |        rcu_all_qs();
   3)   0.250 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.084 us    |        should_failslab();
   3)   0.249 us    |      }
   3)   0.162 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.083 us    |        rcu_all_qs();
   3)   0.236 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.083 us    |        should_failslab();
   3)   0.243 us    |      }
   3)   0.200 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.081 us    |        rcu_all_qs();
   3)   0.237 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.083 us    |        should_failslab();
   3)   0.248 us    |      }
   3)   0.158 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.081 us    |        rcu_all_qs();
   3)   0.234 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.082 us    |        should_failslab();
   3)   0.248 us    |      }
   3)   0.171 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.081 us    |        rcu_all_qs();
   3)   0.235 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.081 us    |        should_failslab();
   3)   0.244 us    |      }
   3)   0.331 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.082 us    |        rcu_all_qs();
   3)   0.238 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.082 us    |        should_failslab();
   3)   0.247 us    |      }
   3)   0.183 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.083 us    |        rcu_all_qs();
   3)   0.238 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.079 us    |        should_failslab();
   3)   0.245 us    |      }
   3)   0.165 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.079 us    |        rcu_all_qs();
   3)   0.235 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.083 us    |        should_failslab();
   3)   0.267 us    |      }
   3)   0.174 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.083 us    |        rcu_all_qs();
   3)   0.237 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.081 us    |        should_failslab();
   3)   0.247 us    |      }
   3)   0.166 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.084 us    |        rcu_all_qs();
   3)   0.238 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.083 us    |        should_failslab();
   3)   0.248 us    |      }
   3)   0.190 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.081 us    |        rcu_all_qs();
   3)   0.236 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.079 us    |        should_failslab();
   3)   0.244 us    |      }
   3)   0.167 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.095 us    |        rcu_all_qs();
   3)   0.311 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.082 us    |        should_failslab();
   3)   0.246 us    |      }
   3)   0.176 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.084 us    |        rcu_all_qs();
   3)   0.238 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.082 us    |        should_failslab();
   3)   0.246 us    |      }
   3)   0.164 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.080 us    |        rcu_all_qs();
   3)   0.249 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.081 us    |        should_failslab();
   3)   0.244 us    |      }
   3)   0.188 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.083 us    |        rcu_all_qs();
   3)   0.240 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.081 us    |        should_failslab();
   3)   0.244 us    |      }
   3)   0.252 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.081 us    |        rcu_all_qs();
   3)   0.241 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.082 us    |        should_failslab();
   3)   0.245 us    |      }
   3)   0.177 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.081 us    |        rcu_all_qs();
   3)   0.233 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.078 us    |        should_failslab();
   3)   0.245 us    |      }
   3)   0.156 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.080 us    |        rcu_all_qs();
   3)   0.234 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.095 us    |        should_failslab();
   3)   0.257 us    |      }
   3)   0.191 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.082 us    |        rcu_all_qs();
   3)   0.236 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.082 us    |        should_failslab();
   3)               |        ___slab_alloc() {
   3)               |          get_any_partial() {
   3)   0.085 us    |            mempolicy_slab_node();
   3)   0.278 us    |          }
   3)               |          allocate_slab() {
   3)               |            alloc_pages() {
   3)   0.089 us    |              policy_nodemask();
   3)   0.081 us    |              policy_node();
   3)               |              __alloc_pages() {
   3)   0.082 us    |                should_fail_alloc_page.constprop.0();
   3)   0.081 us    |                alloc_page_from_dhugetlb_pool();
   3)               |                get_page_from_freelist() {
   3)               |                  rmqueue_pcplist.constprop.0() {
   3)   0.087 us    |                    __inc_numa_state();
   3)   0.081 us    |                    __inc_numa_state();
   3)   0.415 us    |                  }
   3)   0.093 us    |                  prep_new_page();
   3)   0.756 us    |                }
   3)   1.234 us    |              }
   3)   1.709 us    |            }
   3)   0.085 us    |            mod_node_page_state();
   3)               |            get_random_u32() {
   3)   0.097 us    |              _warn_unseeded_randomness();
   3)   0.085 us    |              _raw_spin_lock_irqsave();
   3)   0.087 us    |              _raw_spin_unlock_irqrestore();
   3)   0.581 us    |            }
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.098 us    |            setup_object.isra.0();
   3)   0.096 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.081 us    |            setup_object.isra.0();
   3)   0.085 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.084 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.084 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.081 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.094 us    |            setup_object.isra.0();
   3)   0.085 us    |            setup_object.isra.0();
   3)   0.085 us    |            setup_object.isra.0();
   3)   0.085 us    |            setup_object.isra.0();
   3)   0.085 us    |            setup_object.isra.0();
   3)   0.081 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.079 us    |            setup_object.isra.0();
   3)   0.081 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.081 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.081 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.096 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.086 us    |            setup_object.isra.0();
   3)   0.079 us    |            setup_object.isra.0();
   3)   0.084 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.081 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.098 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.081 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.081 us    |            setup_object.isra.0();
   3)   0.081 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.145 us    |            setup_object.isra.0();
   3)   0.085 us    |            setup_object.isra.0();
   3)   0.084 us    |            setup_object.isra.0();
   3)   0.081 us    |            setup_object.isra.0();
   3)   0.084 us    |            setup_object.isra.0();
   3)   0.080 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.080 us    |            setup_object.isra.0();
   3)   0.081 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.081 us    |            setup_object.isra.0();
   3)   0.081 us    |            setup_object.isra.0();
   3)   0.095 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.081 us    |            setup_object.isra.0();
   3)   0.084 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.084 us    |            setup_object.isra.0();
   3)   0.082 us    |            setup_object.isra.0();
   3)   0.095 us    |            setup_object.isra.0();
   3)   0.084 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
   3)   0.083 us    |            setup_object.isra.0();
