# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)               |                  native_send_call_func_single_ipi() {
   1)   0.121 us    |                      free_unref_page_prepare.part.0();
   1)   0.105 us    |                      free_unref_page_commit();
   1)   0.800 us    |                    }
   1)   0.964 us    |                  }
   1)   1.304 us    |                }
   1)   1.469 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.086 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.081 us    |                      free_page_to_dhugetlb_pool();
   1)   0.146 us    |                      free_pcp_prepare();
   1)   0.098 us    |                      free_unref_page_prepare.part.0();
   1)   0.091 us    |                      free_unref_page_commit();
   1)   0.822 us    |                    }
   1)   0.983 us    |                  }
   1)   1.303 us    |                }
   1)   1.468 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.086 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.084 us    |                      free_page_to_dhugetlb_pool();
   1)   0.084 us    |                      free_pcp_prepare();
   1)   0.086 us    |                      free_unref_page_prepare.part.0();
   1)   0.088 us    |                      free_unref_page_commit();
   1)   0.750 us    |                    }
   1)   0.909 us    |                  }
   1)   1.226 us    |                }
   1)   1.387 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.086 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.086 us    |                      free_page_to_dhugetlb_pool();
   1)   0.086 us    |                      free_pcp_prepare();
   1)   0.086 us    |                      free_unref_page_prepare.part.0();
   1)   0.087 us    |                      free_unref_page_commit();
   1)   0.757 us    |                    }
   1)   0.917 us    |                  }
   1)   1.236 us    |                }
   1)   1.397 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.083 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.084 us    |                      free_page_to_dhugetlb_pool();
   1)   0.083 us    |                      free_pcp_prepare();
   1)   0.085 us    |                      free_unref_page_prepare.part.0();
   1)   0.090 us    |                      free_unref_page_commit();
   1)   0.745 us    |                    }
   1)   0.903 us    |                  }
   1)   1.222 us    |                }
   1)   1.398 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.084 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.082 us    |                      free_page_to_dhugetlb_pool();
   1)   0.085 us    |                      free_pcp_prepare();
   1)   0.087 us    |                      free_unref_page_prepare.part.0();
   1)   0.096 us    |                      free_unref_page_commit();
   1)   0.750 us    |                    }
   1)   0.909 us    |                  }
   1)   1.225 us    |                }
   1)   1.396 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.085 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.085 us    |                      free_page_to_dhugetlb_pool();
   1)   0.087 us    |                      free_pcp_prepare();
   1)   0.086 us    |                      free_unref_page_prepare.part.0();
   1)   0.089 us    |                      free_unref_page_commit();
   1)   0.750 us    |                    }
   1)   0.912 us    |                  }
   1)   1.242 us    |                }
   1)   1.422 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.085 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.087 us    |                      free_page_to_dhugetlb_pool();
   1)   0.087 us    |                      free_pcp_prepare();
   1)   0.083 us    |                      free_unref_page_prepare.part.0();
   1)   0.092 us    |                      free_unref_page_commit();
   1)   0.816 us    |                    }
   1)   0.976 us    |                  }
   1)   1.291 us    |                }
   1)   1.456 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.083 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.085 us    |                      free_page_to_dhugetlb_pool();
   1)   0.085 us    |                      free_pcp_prepare();
   1)   0.163 us    |                      free_unref_page_prepare.part.0();
   1)   0.088 us    |                      free_unref_page_commit();
   1)   0.825 us    |                    }
   1)   0.983 us    |                  }
   1)   1.299 us    |                }
   1)   1.477 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.086 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.087 us    |                      free_page_to_dhugetlb_pool();
   1)   0.084 us    |                      free_pcp_prepare();
   1)   0.089 us    |                      free_unref_page_prepare.part.0();
   1)   0.088 us    |                      free_unref_page_commit();
   1)   0.754 us    |                    }
   1)   0.914 us    |                  }
   1)   1.235 us    |                }
   1)   1.402 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.087 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.082 us    |                      free_page_to_dhugetlb_pool();
   1)   0.084 us    |                      free_pcp_prepare();
   1)   0.100 us    |                      free_unref_page_prepare.part.0();
   1)   0.091 us    |                      free_unref_page_commit();
   1)   0.763 us    |                    }
   1)   0.929 us    |                  }
   1)   1.252 us    |                }
   1)   1.429 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.087 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.087 us    |                      free_page_to_dhugetlb_pool();
   1)   0.085 us    |                      free_pcp_prepare();
   1)   0.088 us    |                      free_unref_page_prepare.part.0();
   1)   0.090 us    |                      free_unref_page_commit();
   1)   0.768 us    |                    }
   1)   0.933 us    |                  }
   1)   1.248 us    |                }
   1)   1.418 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.086 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.085 us    |                      free_page_to_dhugetlb_pool();
   1)   0.082 us    |                      free_pcp_prepare();
   1)   0.089 us    |                      free_unref_page_prepare.part.0();
   1)   0.088 us    |                      free_unref_page_commit();
   1)   0.755 us    |                    }
   1)   0.916 us    |                  }
   1)   1.239 us    |                }
   1)   1.403 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.087 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.085 us    |                      free_page_to_dhugetlb_pool();
   1)   0.087 us    |                      free_pcp_prepare();
   1)   0.087 us    |                      free_unref_page_prepare.part.0();
   1)   0.089 us    |                      free_unref_page_commit();
   1)   0.751 us    |                    }
   1)   0.925 us    |                  }
   1)   1.247 us    |                }
   1)   1.411 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.088 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.086 us    |                      free_page_to_dhugetlb_pool();
   1)   0.085 us    |                      free_pcp_prepare();
   1)   0.087 us    |                      free_unref_page_prepare.part.0();
   1)   0.104 us    |                      free_unref_page_commit();
   1)   0.773 us    |                    }
   1)   0.932 us    |                  }
   1)   1.255 us    |                }
   1)   1.426 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.088 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.087 us    |                      free_page_to_dhugetlb_pool();
   1)   0.084 us    |                      free_pcp_prepare();
   1)   0.088 us    |                      free_unref_page_prepare.part.0();
   1)   0.088 us    |                      free_unref_page_commit();
   1)   0.755 us    |                    }
   1)   0.915 us    |                  }
   1)   1.238 us    |                }
   1)   1.400 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.089 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.083 us    |                      free_page_to_dhugetlb_pool();
   1)   0.084 us    |                      free_pcp_prepare();
   1)   0.083 us    |                      free_unref_page_prepare.part.0();
   1)   0.088 us    |                      free_unref_page_commit();
   1)   0.747 us    |                    }
   1)   0.908 us    |                  }
   1)   1.227 us    |                }
   1)   1.396 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.086 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.085 us    |                      free_page_to_dhugetlb_pool();
   1)   0.082 us    |                      free_pcp_prepare();
   1)   0.086 us    |                      free_unref_page_prepare.part.0();
   1)   0.090 us    |                      free_unref_page_commit();
   1)   0.763 us    |                    }
   1)   0.927 us    |                  }
   1)   1.247 us    |                }
   1)   1.425 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.085 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.084 us    |                      free_page_to_dhugetlb_pool();
   1)   0.086 us    |                      free_pcp_prepare();
   1)   0.084 us    |                      free_unref_page_prepare.part.0();
   1)   0.088 us    |                      free_unref_page_commit();
   1)   0.775 us    |                    }
   1)   0.943 us    |                  }
   1)   1.263 us    |                }
   1)   1.429 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.084 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.085 us    |                      free_page_to_dhugetlb_pool();
   1)   0.085 us    |                      free_pcp_prepare();
   1)   0.086 us    |                      free_unref_page_prepare.part.0();
   1)   0.091 us    |                      free_unref_page_commit();
   1)   0.747 us    |                    }
   1)   0.903 us    |                  }
   1)   1.222 us    |                }
   1)   1.387 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.088 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.085 us    |                      free_page_to_dhugetlb_pool();
   1)   0.085 us    |                      free_pcp_prepare();
   1)   0.085 us    |                      free_unref_page_prepare.part.0();
   1)   0.100 us    |                      free_unref_page_commit();
   1)   0.828 us    |                    }
   1)   0.988 us    |                  }
   1)   1.309 us    |                }
   1)   1.473 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.084 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.083 us    |                      free_page_to_dhugetlb_pool();
   1)   0.086 us    |                      free_pcp_prepare();
   1)   0.084 us    |                      free_unref_page_prepare.part.0();
   1)   0.088 us    |                      free_unref_page_commit();
   1)   0.745 us    |                    }
   1)   0.907 us    |                  }
   1)   1.224 us    |                }
   1)   1.385 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.085 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.085 us    |                      free_page_to_dhugetlb_pool();
   1)   0.090 us    |                      free_pcp_prepare();
   1)   0.085 us    |                      free_unref_page_prepare.part.0();
   1)   0.087 us    |                      free_unref_page_commit();
   1)   0.757 us    |                    }
   1)   0.917 us    |                  }
   1)   1.247 us    |                }
   1)   1.411 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.083 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.088 us    |                      free_page_to_dhugetlb_pool();
   1)   0.084 us    |                      free_pcp_prepare();
   1)   0.086 us    |                      free_unref_page_prepare.part.0();
   1)   0.090 us    |                      free_unref_page_commit();
   1)   0.758 us    |                    }
   1)   0.918 us    |                  }
   1)   1.232 us    |                }
   1)   1.395 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.089 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.081 us    |                      free_page_to_dhugetlb_pool();
   1)   0.083 us    |                      free_pcp_prepare();
   1)   0.085 us    |                      free_unref_page_prepare.part.0();
   1)   0.089 us    |                      free_unref_page_commit();
   1)   0.769 us    |                    }
   1)   0.933 us    |                  }
   1)   1.260 us    |                }
   1)   1.432 us    |              }
   1)               |              discard_slab() {
   1)               |                __free_slab() {
   1)   0.088 us    |                  mod_node_page_state();
   1)               |                  __free_pages() {
   1)               |                    free_unref_page() {
   1)   0.084 us    |                      free_page_to_dhugetlb_pool();
   1)   0.084 us    |                      free_pcp_prepare();
   1)   0.085 us    |                      free_unref_page_prepare.part.0();
   1)   0.087 us    |                      free_unref_page_commit();
   1)   0.748 us    |                    }
   1)   0.909 us    |                  }
   1)   1.233 us    |                }
   1)   1.394 us    |              }
   1) + 40.008 us   |            }
   1) + 40.203 us   |          }
   1) + 40.474 us   |        }
   1) + 40.627 us   |      }
   1)               |      kmem_cache_free() {
   1)   0.115 us    |        __slab_free();
   1)   0.343 us    |      }
   1)               |      kmem_cache_free() {
   1)               |        __slab_free() {
   1)   0.086 us    |          _raw_spin_lock_irqsave();
   1)   0.090 us    |          _raw_spin_unlock_irqrestore();
   1)               |          discard_slab() {
   1)               |            __free_slab() {
   1)   0.088 us    |              mod_node_page_state();
   1)               |              __free_pages() {
   1)               |                free_unref_page() {
   1)   0.086 us    |                  free_page_to_dhugetlb_pool();
   1)   0.085 us    |                  free_pcp_prepare();
   1)   0.087 us    |                  free_unref_page_prepare.part.0();
   1)   0.087 us    |                  free_unref_page_commit();
   1)   0.750 us    |                }
   1)   0.909 us    |              }
   1)   1.245 us    |            }
   1)   1.407 us    |          }
   1)   1.918 us    |        }
   1)   2.242 us    |      }
   1)               |      kmem_cache_free() {
   1)               |        __slab_free() {
   1)   0.088 us    |          put_cpu_partial();
   1)   0.332 us    |        }
   1)   0.490 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.316 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.312 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.096 us    |        __slab_free();
   1)   0.252 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.250 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.248 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.246 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.315 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.253 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.249 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.106 us    |        __slab_free();
   1)   0.336 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.264 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.327 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.328 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.321 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.251 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.321 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.247 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.244 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.245 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.249 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.385 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.109 us    |        __slab_free();
   1)   0.336 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.096 us    |        __slab_free();
   1)   0.259 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.259 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.254 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.096 us    |        __slab_free();
   1)   0.257 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.261 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.109 us    |        __slab_free();
   1)   0.270 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.256 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.259 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.100 us    |        __slab_free();
   1)   0.263 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.255 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.252 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.096 us    |        __slab_free();
   1)   0.250 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.257 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.265 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.255 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.275 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.258 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.101 us    |        __slab_free();
   1)   0.270 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.101 us    |        __slab_free();
   1)   0.271 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.096 us    |        __slab_free();
   1)   0.264 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.097 us    |        __slab_free();
   1)   0.266 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.096 us    |        __slab_free();
   1)   0.266 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.097 us    |        __slab_free();
   1)   0.266 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.097 us    |        __slab_free();
   1)   0.275 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.255 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.097 us    |        __slab_free();
   1)   0.272 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.097 us    |        __slab_free();
   1)   0.262 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.251 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.248 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.251 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.251 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.314 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.252 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.249 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.256 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.250 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.252 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.315 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.251 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.096 us    |        __slab_free();
   1)   0.256 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.256 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.253 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.264 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.254 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.256 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.255 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.257 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.096 us    |        __slab_free();
   1)   0.261 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.272 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.250 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.324 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.096 us    |        __slab_free();
   1)   0.253 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.250 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.091 us    |        __slab_free();
   1)   0.253 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.253 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.109 us    |        __slab_free();
   1)   0.397 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.252 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.091 us    |        __slab_free();
   1)   0.250 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.091 us    |        __slab_free();
   1)   0.247 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.249 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.250 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.248 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.251 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.100 us    |        __slab_free();
   1)   0.350 us    |      }
   1)               |      kmem_cache_free() {
   1)               |        __slab_free() {
   1)   0.105 us    |          put_cpu_partial();
   1)   0.380 us    |        }
   1)   0.537 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.098 us    |        __slab_free();
   1)   0.252 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.314 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.108 us    |        __slab_free();
   1)   0.323 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.245 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.320 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.258 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.259 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.107 us    |        __slab_free();
   1)   0.270 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.336 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.258 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.251 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.096 us    |        __slab_free();
   1)   0.259 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.322 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.266 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.253 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.254 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.248 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.253 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.267 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.270 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.320 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.252 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.252 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.108 us    |        __slab_free();
   1)   0.267 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.096 us    |        __slab_free();
   1)   0.252 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.254 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.253 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.254 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.108 us    |        __slab_free();
   1)   0.328 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.100 us    |        __slab_free();
   1)   0.259 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.096 us    |        __slab_free();
   1)   0.255 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.096 us    |        __slab_free();
   1)   0.257 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.098 us    |        __slab_free();
   1)   0.259 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.096 us    |        __slab_free();
   1)   0.255 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.256 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.096 us    |        __slab_free();
   1)   0.254 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.256 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.265 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.251 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.254 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.093 us    |        __slab_free();
   1)   0.249 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.099 us    |        __slab_free();
   1)   0.254 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.097 us    |        __slab_free();
   1)   0.346 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.097 us    |        __slab_free();
   1)   0.255 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.250 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.252 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.312 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.095 us    |        __slab_free();
   1)   0.263 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.256 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.254 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.094 us    |        __slab_free();
   1)   0.256 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.105 us    |        __slab_free();
   1)   0.281 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.252 us    |      }
   1)               |      kmem_cache_free() {
   1)   0.092 us    |        __slab_free();
   1)   0.251 us    |      }
