# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)               |                  native_send_call_func_single_ipi() {
   0)   0.263 us    |                                  }
   0)   0.467 us    |                                }
   0)   1.364 us    |                              }
   0)               |                              scheduler_tick() {
   0)   0.086 us    |                                arch_scale_freq_tick();
   0)   0.090 us    |                                _raw_spin_lock();
   0)               |                                update_rq_clock() {
   0)               |                                  update_rq_clock_task() {
   0)   0.095 us    |                                    update_irq_load_avg();
   0)   0.290 us    |                                  }
   0)   0.455 us    |                                }
   0)               |                                task_tick_fair() {
   0)               |                                  entity_tick() {
   0)               |                                    update_curr() {
   0)   0.090 us    |                                      update_min_vruntime();
   0)               |                                      cpuacct_charge() {
   0)   0.130 us    |                                        rcu_read_unlock_strict();
   0)   0.301 us    |                                      }
   0)   0.085 us    |                                      rcu_read_unlock_strict();
   0)   0.820 us    |                                    }
   0)   0.111 us    |                                    __update_load_avg_se();
   0)   0.090 us    |                                    __update_load_avg_cfs_rq();
   0)   0.087 us    |                                    update_cfs_group();
   0)   0.095 us    |                                    hrtimer_active();
   0)   1.705 us    |                                  }
   0)   1.921 us    |                                }
   0)   0.107 us    |                                calc_global_load_tick();
   0)               |                                trigger_load_balance() {
   0)               |                                  nohz_balancer_kick() {
   0)   0.087 us    |                                    nohz_balance_exit_idle();
   0)   0.262 us    |                                  }
   0)   0.446 us    |                                }
   0)   3.796 us    |                              }
   0)   0.094 us    |                              run_posix_cpu_timers();
   0)   7.161 us    |                            }
   0)   0.089 us    |                            profile_tick();
   0)   7.509 us    |                          }
   0)   0.110 us    |                          hrtimer_forward();
   0)   8.280 us    |                        }
   0)   0.085 us    |                        _raw_spin_lock_irq();
   0)   0.176 us    |                        enqueue_hrtimer();
   0)   9.201 us    |                      }
   0)   9.390 us    |                    }
   0)   0.087 us    |                    __hrtimer_next_event_base();
   0)   0.118 us    |                    __hrtimer_next_event_base();
   0)   0.094 us    |                    _raw_spin_unlock_irqrestore();
   0)               |                    tick_program_event() {
   0)               |                      clockevents_program_event() {
   0)   0.132 us    |                        ktime_get();
   0)   1.154 us    |                        lapic_next_deadline();
   0)   1.579 us    |                      }
   0)   2.004 us    |                    }
   0) + 12.952 us   |                  }
   0) + 13.899 us   |                }
   0)               |                irq_exit_rcu() {
   0)   0.103 us    |                  irqtime_account_irq();
   0)               |                  do_softirq_own_stack() {
   0)               |                    __do_softirq() {
   0)   0.100 us    |                      irqtime_account_irq();
   0)               |                      rcu_core_si() {
   0)               |                        rcu_core() {
   0)   0.141 us    |                          note_gp_changes();
   0)               |                          rcu_report_qs_rdp() {
   0)   0.111 us    |                            _raw_spin_lock_irqsave();
   0)               |                            rcu_accelerate_cbs() {
   0)   0.087 us    |                              rcu_segcblist_pend_cbs();
   0)   0.155 us    |                              rcu_segcblist_accelerate();
   0)   0.516 us    |                            }
   0)   0.085 us    |                            rcu_disable_urgency_upon_qs();
   0)               |                            rcu_report_qs_rnp() {
   0)   0.093 us    |                              _raw_spin_unlock_irqrestore();
   0)   0.273 us    |                            }
   0)   1.454 us    |                          }
   0)   0.087 us    |                          rcu_segcblist_ready_cbs();
   0)   2.073 us    |                        }
   0)   2.240 us    |                      }
   0)   0.102 us    |                      irqtime_account_irq();
   0)   2.868 us    |                    }
   0)   3.102 us    |                  }
   0)   0.100 us    |                  idle_cpu();
   0)   3.711 us    |                }
   0) + 19.823 us   |              }
   0)   0.102 us    |              ttwu_stat();
   0) + 33.600 us   |            }
   0) + 33.792 us   |          }
   0)               |          wait_for_completion_killable() {
   0)               |            wait_for_common() {
   0)   0.086 us    |              _raw_spin_lock_irq();
   0)   0.101 us    |              __prepare_to_swait();
   0)               |              schedule_timeout() {
   0)               |                schedule() {
   0)               |                  rcu_note_context_switch() {
   0)   0.087 us    |                    rcu_qs();
   0)   0.261 us    |                  }
   0)   0.087 us    |                  _raw_spin_lock();
   0)               |                  update_rq_clock() {
   0)               |                    update_rq_clock_task() {
   0)   0.119 us    |                      update_irq_load_avg();
   0)   0.312 us    |                    }
   0)   0.479 us    |                  }
   0)               |                  deactivate_task() {
   0)               |                    dequeue_task_fair() {
   0)               |                      dequeue_entity() {
   0)   0.100 us    |                        update_curr();
   0)   0.098 us    |                        __update_load_avg_se();
   0)   0.094 us    |                        __update_load_avg_cfs_rq();
   0)   0.091 us    |                        clear_buddies();
   0)   0.092 us    |                        update_cfs_group();
   0)   0.085 us    |                        update_min_vruntime();
   0)   1.217 us    |                      }
   0)   0.095 us    |                      hrtick_update();
   0)   1.596 us    |                    }
   0)   1.788 us    |                  }
   0)               |                  pick_next_task_fair() {
   0)               |                    newidle_balance() {
   0)   0.100 us    |                      __msecs_to_jiffies();
   0)   0.084 us    |                      rcu_read_unlock_strict();
   0)   0.085 us    |                      nohz_newidle_balance();
   0)   0.604 us    |                    }
   0)   0.085 us    |                    try_steal();
   0)   0.095 us    |                    __unthrottle_qos_cfs_rqs();
   0)   1.164 us    |                  }
   0)               |                  put_prev_task_fair() {
   0)               |                    put_prev_entity() {
   0)   0.083 us    |                      check_cfs_rq_runtime();
   0)   0.089 us    |                      check_spread.isra.0();
   0)   0.415 us    |                    }
   0)   0.577 us    |                  }
   0)   0.085 us    |                  pick_next_task_idle();
   0)   0.219 us    |                  __traceiter_sched_switch();
   0)   0.098 us    |                  enter_lazy_tlb();
   0)   0.675 us    |                  finish_task_switch();
   0) + 72.865 us   |                }
   0) + 73.129 us   |              }
   0)   0.113 us    |              _raw_spin_lock_irq();
   0)   0.090 us    |              __finish_swait();
   0) + 74.145 us   |            }
   0) + 74.343 us   |          }
   0)               |          __set_task_comm() {
   0)   0.163 us    |            _raw_spin_lock();
   0)   0.443 us    |          }
   0)               |          sched_setscheduler_nocheck() {
   0)               |            __sched_setscheduler() {
   0)   0.130 us    |              cpuset_read_lock();
   0)               |              task_rq_lock() {
   0)   0.085 us    |                _raw_spin_lock_irqsave();
   0)   0.127 us    |                _raw_spin_lock();
   0)   0.488 us    |              }
   0)               |              update_rq_clock() {
   0)   0.146 us    |                update_rq_clock_task();
   0)   0.317 us    |              }
   0)   0.095 us    |              _raw_spin_unlock_irqrestore();
   0)   0.086 us    |              cpuset_read_unlock();
   0)   1.729 us    |            }
   0)   1.920 us    |          }
   0)   0.088 us    |          housekeeping_cpumask();
   0)               |          set_cpus_allowed_ptr() {
   0)               |            __set_cpus_allowed_ptr() {
   0)               |              task_rq_lock() {
   0)   0.086 us    |                _raw_spin_lock_irqsave();
   0)   0.083 us    |                _raw_spin_lock();
